Title,Genre,Director,Time
Ojciec chrzestny,"Crime, Drama",Francis Ford Coppola,175 min
Lista Schindlera,"Biography, Drama, History",Oskar Schindler,195 min
Dwunastu gniewnych ludzi,"Crime, Drama",Sidney Lumet,96 min
Życie jest piękne,"Comedy, Drama, Romance",Roberto Benigni,116 min
"Dobry, zły i brzydki",Western,Sergio Leone,161 min
Skazani na Shawshank,Drama,Frank Darabont,142 min
W pogoni za szczęściem,"Biography, Drama",Gabriele Muccino,117 min
Siedmiu samurajów,"Action, Adventure, Drama",Akira Kurosawa,207 min
Nietykalni,"Biography, Comedy, Drama",Olivier Nakache,112 min
Dworzec nadziei,Drama,Walter Salles,110 min
Requiem dla snu,Drama,Darren Aronofsky,102 min
Piękny umysł,"Biography, Drama",John Nash,135 min
Mój przyjaciel Hachiko,"Biography, Drama, Family",Lasse Hallström,93 min
Uprowadzona,"Action, Crime, Thriller",Pierre Morel,90 min
Yeopgijeogin geunyeo,"Comedy, Drama, Romance",Jae-young Kwak,137 min
Amores perros,"Drama, Thriller",Alejandro G. Iñárritu,154 min
Lśnienie,"Drama, Horror",Stanley Kubrick,146 min
Apocalypto,"Action, Adventure, Drama",Mel Gibson,139 min
Gladiator,"Action, Adventure, Drama",Ridley Scott,155 min
Cast Away - poza światem,"Adventure, Drama, Romance",Robert Zemeckis,143 min
Mroczny Rycerz,"Action, Crime, Drama",Christopher Nolan,152 min
Pianista,"Biography, Drama, Music",Roman Polanski,150 min
Titanic,"Drama, Romance",James Cameron,194 min
Pusty dom,"Crime, Drama, Romance",Kim Ki-duk,88 min
Braveheart - Waleczne Serce,"Biography, Drama, History",Mel Gibson,178 min
To wspaniałe życie,"Drama, Family, Fantasy",Frank Capra,130 min
"Wiosna, lato, jesień, zima... i wiosna","Drama, Romance",Kim Ki-duk,103 min
Obcy - 8. pasażer ''Nostromo'',"Horror, Sci-Fi",Ridley Scott,117 min
Salinui chueok,"Crime, Drama, Mystery",Bong Joon Ho,131 min
Powrót,Drama,Andrey Zvyagintsev,110 min
Ujrzałem diabła,"Action, Crime, Drama",Jee-woon Kim,144 min
Dzieci niebios,"Drama, Family, Sport",Majid Majidi,89 min
Rozstanie,Drama,Asghar Farhadi,123 min
Szósty zmysł,"Drama, Mystery, Thriller",M. Night Shyamalan,107 min
Nae meorisokui jiwoogae,"Drama, Romance",John H. Lee,144 min
Pożegnania,"Drama, Music",Yôjirô Takita,130 min
Wo de fu qin mu qin,"Drama, History, Romance",Yimou Zhang,89 min
Szeregowiec Ryan,"Drama, War",Steven Spielberg,169 min
Most na rzece Kwai,"Adventure, Drama, War",David Lean,161 min
Ben Hur,"Adventure, Drama, History",William Wyler,212 min
Egzorcysta,Horror,William Friedkin,122 min
Sekret jej oczu,"Drama, Mystery, Romance",Juan José Campanella,129 min
Leon zawodowiec,"Action, Crime, Drama",Luc Besson,110 min
Zielona mila,"Crime, Drama, Fantasy",Frank Darabont,189 min
Gran Torino,Drama,Clint Eastwood,116 min
Kill Bill,"Action, Crime, Drama",Quentin Tarantino,111 min
Jurassic Park,"Action, Adventure, Sci-Fi",Steven Spielberg,127 min
Terminator 2: Dzień Sądu,"Action, Sci-Fi",James Cameron,137 min
Powrót do przyszłości,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,116 min
Gdzie jest Nemo,"Animation, Adventure, Comedy",Andrew Stanton,100 min
